county_id,GEOID,county,geometry,STATE,Uppm,homes
11,27133,Rock,"POLYGON ((-96.45331499999999 43.552299, -96.45290957436629 43.8495068930184, -96.4529095716932 43.8495088526372, -96.06461999999999 43.849039, -96.05232 43.84907, -96.05316283451 43.5001877081575, -96.198484 43.500335, -96.45326 43.500389999999996, -96.45331499999999 43.552299))",MN,1.69558,2.0
12,27147,Steele,"POLYGON ((-93.406565 44.196377, -93.162285 44.196568, -93.04590999999999 44.196715999999995, -93.04596599999999 43.848467, -93.04952399999999 43.848442999999996, -93.40664199999999 43.84812, -93.406565 44.196377))",MN,1.30971,10.0
13,27153,Todd,"POLYGON ((-95.15557 46.36888, -94.731442 46.368604999999995, -94.717126 46.351368, -94.65346199999999 46.348678, -94.64399 45.77395, -95.139731 45.773416, -95.14587999999999 46.106761, -95.145791 46.282368, -95.15557 46.36888))",MN,0.95424,3.0
14,27067,Kandiyohi,"POLYGON ((-95.255206 45.412524999999995, -95.13172999999999 45.412402, -94.762934 45.412861, -94.76308 45.326100000000004, -94.758189 44.892097, -95.24852 44.89131, -95.24649 45.152384, -95.255196 45.238712, -95.255206 45.412524999999995))",MN,1.11598,4.0
15,27065,Kanabec,"POLYGON ((-93.51808 45.981789, -93.432492 45.981398, -93.431831 46.153991, -93.284475 46.159442999999996, -93.053871 46.15812, -93.055081 45.981232999999996, -93.14286899999999 45.981004999999996, -93.14179299999999 45.730657, -93.513683 45.734317999999995, -93.51808 45.981789))",MN,0.948014,4.0
16,27003,Anoka,"POLYGON ((-93.51007 45.414798, -93.01956299999999 45.41177, -93.01943999999999 45.296929, -93.020518 45.123866, -93.227696 45.124533, -93.227059 45.049937, -93.226929 45.035671, -93.28342599999999 45.035365, -93.28081499999999 45.071715999999995, -93.296092 45.121736, -93.311544 45.143778, -93.373301 45.178169, -93.426332 45.214864999999996, -93.51218999999999 45.245683, -93.51007 45.414798))",MN,0.428565,52.0
17,27017,Carlton,"POLYGON ((-93.061529 46.766549999999995, -92.301676 46.764134, -92.292192 46.663242, -92.292371 46.495585, -92.2927598024283 46.41721950288, -93.054847 46.419269, -93.061529 46.766549999999995))",MN,0.717261,10.0
18,27035,Crow Wing,"POLYGON ((-94.388922 46.238166, -94.341679 46.277705, -94.330944 46.631147, -94.34290999999999 46.805529, -93.77602399999999 46.802890999999995, -93.77790499999999 46.589670999999996, -93.810407 46.250948, -93.796281 46.243199, -93.810802 46.234294999999996, -93.810362 46.156585, -94.37459199999999 46.157092999999996, -94.388922 46.238166))",MN,0.530789,12.0
19,27059,Isanti,"POLYGON ((-93.513683 45.734317999999995, -93.14179299999999 45.730657, -93.14197399999999 45.558108999999995, -93.022274 45.557154, -93.01956299999999 45.41177, -93.51007 45.414798, -93.51070399999999 45.558772, -93.513683 45.734317999999995))",MN,0.471483,3.0
20,27165,Watonwan,"POLYGON ((-94.859803 44.108016, -94.36885 44.108698, -94.368974 43.848047, -94.854444 43.848099, -94.859388 43.848093, -94.859803 44.108016))",MN,1.2011,3.0
21,27163,Washington,"POLYGON ((-93.01943999999999 45.296929, -92.74826767468589 45.296059386509796, -92.76186799999999 45.284938, -92.76609140867369 45.2100217024227, -92.766932 45.195111, -92.743829979395 45.1236663641246, -92.74050899999999 45.113395999999995, -92.802911 45.065402999999996, -92.761904 45.022467, -92.750802 44.941567, -92.76702326575189 44.8619767370977, -92.7671173343572 44.861515185875895, -92.768574 44.854368, -92.80528699999999 44.768361, -92.7923607996705 44.7589838136971, -93.01596099999999 44.775563999999996, -93.010032 44.845988999999996, -93.020044 44.89075, -92.984192 44.890814, -92.984619 45.123622, -93.020518 45.123866, -93.01943999999999 45.296929))",MN,0.862876,46.0
22,27085,McLeod,"POLYGON ((-94.501885 44.979695, -94.256074 44.979465, -94.012236 44.978711999999994, -94.010494 44.717464, -94.254076 44.717855, -94.254719 44.630311, -94.497835 44.629920999999996, -94.498074 44.717171, -94.49802799999999 44.872516, -94.50239499999999 44.892295, -94.501885 44.979695))",MN,1.15076,13.0
23,27123,Ramsey,"POLYGON ((-93.227696 45.124533, -93.020518 45.123866, -92.984619 45.123622, -92.984192 44.890814, -93.020044 44.89075, -93.096041 44.923286999999995, -93.178539 44.888338, -93.200334 44.908933999999995, -93.208092 45.035744, -93.226929 45.035671, -93.227059 45.049937, -93.227696 45.124533))",MN,0.658327,32.0
24,27073,Lac qui Parle,"POLYGON ((-96.45755349848501 45.268897928718395, -96.311413 45.251597, -96.103614 45.176674999999996, -96.036698 45.152206, -95.824614 44.986883999999996, -95.80428099999999 44.949197, -95.736696 44.93604, -95.737309 44.891479, -95.84745199999999 44.891799, -95.849009 44.805347, -96.4548305155538 44.805550204045794, -96.4558401136336 44.97734524828, -96.45755349848501 45.268897928718395))",MN,1.36483,2.0
25,27043,Faribault,"POLYGON ((-94.247123 43.847946, -93.767761 43.847955999999996, -93.64828999999999 43.848138999999996, -93.6485330311736 43.4995354896751, -93.97076 43.499604999999995, -94.2479674415552 43.5001754767076, -94.247123 43.847946))",MN,1.34316,6.0
26,27173,Yellow Medicine,"POLYGON ((-96.4548305155538 44.805550204045794, -95.849009 44.805347, -95.84745199999999 44.891799, -95.737309 44.891479, -95.736696 44.93604, -95.49807799999999 44.789460999999996, -95.482843 44.752505, -95.415854 44.734505, -95.360177 44.69854, -95.3604 44.541762, -95.59481699999999 44.542305, -95.604001 44.629945, -96.09295 44.630486, -96.4538066996671 44.631335831948, -96.4548305155538 44.805550204045794))",MN,1.42659,2.0
27,27135,Roseau,"POLYGON ((-96.405408 48.999984, -95.97538999999999 48.999984, -95.34096199999999 48.99874, -95.3198887834722 48.9987583440104, -95.30104 48.904216, -95.23560599999999 48.88145, -95.091464 48.920618, -95.089863 48.713062, -95.34272999999999 48.713028, -95.34254 48.540211, -95.60231499999999 48.538886999999995, -96.387835 48.544308, -96.404924 48.71707, -96.405408 48.999984))",MN,0.808928,14.0
28,27111,Otter Tail,"POLYGON ((-96.280977 46.630765, -96.17227 46.630708999999996, -96.174587 46.717853999999996, -95.247999 46.716255, -95.16371 46.717639999999996, -95.15554 46.62994, -95.15557 46.36888, -95.145791 46.282368, -95.14587999999999 46.106761, -95.76975 46.10745, -96.265366 46.10861, -96.28 46.282219999999995, -96.280977 46.630765))",MN,0.814867,8.0
29,27143,Sibley,"POLYGON ((-94.62948899999999 44.716663, -94.498074 44.717171, -94.497835 44.629920999999996, -94.254719 44.630311, -94.254076 44.717855, -94.010494 44.717464, -93.88863599999999 44.717044, -93.888831 44.673409, -93.768176 44.673519999999996, -93.768039 44.640302999999996, -93.902479 44.587647, -93.910405 44.543163, -93.885373 44.518209, -93.92954999999999 44.456716, -94.6242 44.45603, -94.62948899999999 44.716663))",MN,1.26771,4.0
30,27115,Pine,"POLYGON ((-93.14286899999999 45.981004999999996, -93.055081 45.981232999999996, -93.053871 46.15812, -93.054847 46.419269, -92.2927598024283 46.41721950288, -92.29361899999999 46.244043, -92.2938306085787 46.157321306496, -92.294033 46.074377, -92.338239 46.052149, -92.35176 46.015685, -92.392681 46.01954, -92.44963 46.002252, -92.47276099999999 45.972952, -92.545682 45.970118, -92.58056499999999 45.94625, -92.65612499999999 45.924442, -92.721128 45.883804999999995, -92.759458 45.835341, -92.776496 45.790014, -92.82601299999999 45.73665, -92.8407421066255 45.7293967344697, -93.14179299999999 45.730657, -93.14286899999999 45.981004999999996))",MN,0.849343,6.0
31,27063,Jackson,"POLYGON ((-95.452502 43.847953, -95.10058599999999 43.847936999999995, -94.859388 43.848093, -94.854444 43.848099, -94.85455506761069 43.5005534191522, -94.874235 43.500557, -94.9146134847136 43.500595872986096, -95.21493799999999 43.500885, -95.38778759402189 43.5004787289074, -95.4544322386606 43.500322085250005, -95.452502 43.847953))",MN,1.36209,5.0
32,27149,Stevens,"POLYGON ((-96.25402199999999 45.75982, -95.75850799999999 45.759932, -95.747402 45.412313, -96.117036 45.411992999999995, -96.241328 45.412667, -96.25302599999999 45.585525999999994, -96.25402199999999 45.75982))",MN,1.60124,2.0
33,27019,Carver,"POLYGON ((-94.012236 44.978711999999994, -93.767367 44.977964, -93.76704099999999 44.890862, -93.52070599999999 44.891501999999996, -93.520431 44.804263, -93.57866299999999 44.794373, -93.594234 44.776215, -93.618141 44.707096, -93.768039 44.640302999999996, -93.768176 44.673519999999996, -93.888831 44.673409, -93.88863599999999 44.717044, -94.010494 44.717464, -94.012236 44.978711999999994))",MN,1.10061,6.0
34,27101,Murray,"POLYGON ((-96.063778 44.196425, -95.59357 44.19553, -95.462547 44.195941999999995, -95.46242699999999 43.847910999999996, -96.05232 43.84907, -96.06461999999999 43.849039, -96.063778 44.196425))",MN,1.49011,1.0
35,27109,Olmsted,"POLYGON ((-92.689391 43.848569999999995, -92.678313 43.861773, -92.67871699999999 44.195516, -92.550871 44.194916, -92.318986 44.194057, -92.31897099999999 44.107734, -92.07949099999999 44.106988, -92.079292 43.84708, -92.434542 43.848226, -92.448965 43.834105, -92.67884 43.833695999999996, -92.689391 43.848569999999995))",MN,1.27526,23.0
36,27049,Goodhue,"POLYGON ((-93.039485 44.471871, -93.039344 44.51535, -92.79260000000001 44.542971, -92.79258399999999 44.629722, -92.73204299999999 44.629493, -92.7316238513032 44.7149227852596, -92.696491 44.689436, -92.61802499999999 44.61287, -92.54928 44.577704, -92.399281 44.558291999999994, -92.36151799999999 44.558935, -92.3169331334058 44.5392760122027, -92.314071 44.538014, -92.291005 44.485464, -92.2453646490054 44.4542511243518, -92.43027699999999 44.455321, -92.430629 44.368291, -92.550733 44.368521, -92.550871 44.194916, -92.67871699999999 44.195516, -93.041159 44.196726, -93.039485 44.471871))",MN,1.21727,14.0
37,27053,Hennepin,"POLYGON ((-93.767367 44.977964, -93.76187399999999 45.081244, -93.676267 45.151044, -93.667203 45.154443, -93.66154499999999 45.153273999999996, -93.647747 45.158609, -93.645168 45.161561, -93.638622 45.16562, -93.63865299999999 45.174161, -93.65881 45.194116, -93.521653 45.246618, -93.51218999999999 45.245683, -93.426332 45.214864999999996, -93.373301 45.178169, -93.311544 45.143778, -93.296092 45.121736, -93.28081499999999 45.071715999999995, -93.28342599999999 45.035365, -93.226929 45.035671, -93.208092 45.035744, -93.200334 44.908933999999995, -93.178539 44.888338, -93.19794 44.862, -93.25187299999999 44.811476, -93.32961499999999 44.791086, -93.43808899999999 44.813007, -93.520431 44.804263, -93.52070599999999 44.891501999999996, -93.76704099999999 44.890862, -93.767367 44.977964))",MN,0.907991,105.0
38,27087,Mahnomen,"POLYGON ((-96.067621 47.499136, -95.554248 47.499893, -95.551384 47.482366, -95.551186 47.151453, -96.06706899999999 47.151813, -96.067621 47.499136))",MN,1.16137,1.0
39,27155,Traverse,"POLYGON ((-96.851621 45.619412, -96.82616 45.654163999999994, -96.745086 45.701575999999996, -96.672665 45.732336, -96.630512 45.781157, -96.587093 45.816444999999995, -96.571871 45.871846, -96.563672 45.935244999999995, -96.574264 46.016545, -96.572697494194 46.02189167135769, -96.26614 46.021609999999995, -96.253675 45.934647999999996, -96.25402199999999 45.75982, -96.25302599999999 45.585525999999994, -96.8354191619781 45.5861286928808, -96.84395699999999 45.594003, -96.851621 45.619412))",MN,1.64476,4.0
40,27171,Wright,"POLYGON ((-94.26082099999999 45.283941, -94.09272 45.342467, -94.047327 45.422861, -93.75661 45.294720999999996, -93.563987 45.301238, -93.521653 45.246618, -93.65881 45.194116, -93.63865299999999 45.174161, -93.638622 45.16562, -93.645168 45.161561, -93.647747 45.158609, -93.66154499999999 45.153273999999996, -93.667203 45.154443, -93.676267 45.151044, -93.76187399999999 45.081244, -93.767367 44.977964, -94.012236 44.978711999999994, -94.256074 44.979465, -94.256681 45.239272, -94.26082099999999 45.283941))",MN,0.913909,13.0
41,27039,Dodge,"POLYGON ((-93.04590999999999 44.196715999999995, -93.041159 44.196726, -92.67871699999999 44.195516, -92.678313 43.861773, -92.689391 43.848569999999995, -93.04596599999999 43.848467, -93.04590999999999 44.196715999999995))",MN,1.30194,3.0
42,27169,Winona,"POLYGON ((-92.079397 44.192721999999996, -91.85449997529768 44.1972265195522, -91.817302 44.164235, -91.71909699999999 44.128853, -91.64787299999999 44.064108999999995, -91.57328299999999 44.026900999999995, -91.5592155630397 44.0242093165812, -91.440536 44.001501, -91.4235686998173 43.9842968803226, -91.35742599999999 43.917231, -91.29100199999999 43.852733, -91.2876556273671 43.847065, -91.730424 43.846934999999995, -92.079292 43.84708, -92.07949099999999 44.106988, -92.079397 44.192721999999996))",MN,1.58917,13.0
43,27167,Wilkin,"POLYGON ((-96.7857861825985 46.6295908492609, -96.280977 46.630765, -96.28 46.282219999999995, -96.265366 46.10861, -96.26614 46.021609999999995, -96.572697494194 46.02189167135769, -96.554507 46.083977999999995, -96.59567 46.21985, -96.60104 46.319554, -96.647296 46.358498999999995, -96.70909499999999 46.435294, -96.744436 46.56596, -96.7857861825985 46.6295908492609))",MN,1.26622,1.0
44,27029,Clearwater,"POLYGON ((-95.582887 48.020557, -95.22913299999999 48.019957999999995, -95.277834 47.925346, -95.193705 47.872544, -95.183216 47.412773, -95.16963299999999 47.325399, -95.16917199999999 47.152515, -95.551186 47.151453, -95.551384 47.482366, -95.554248 47.499893, -95.553392 47.67361, -95.578839 47.673677, -95.582155 47.933966, -95.582887 48.020557))",MN,0.941896,4.0
45,27151,Swift,"POLYGON ((-96.117036 45.411992999999995, -95.747402 45.412313, -95.255206 45.412524999999995, -95.255196 45.238712, -95.24649 45.152384, -96.036698 45.152206, -96.103614 45.176674999999996, -96.118054 45.239784, -96.117036 45.411992999999995))",MN,1.37167,4.0
46,27011,Big Stone,"POLYGON ((-96.8354191619781 45.5861286928808, -96.25302599999999 45.585525999999994, -96.241328 45.412667, -96.117036 45.411992999999995, -96.118054 45.239784, -96.103614 45.176674999999996, -96.311413 45.251597, -96.45755349848501 45.268897928718395, -96.457781 45.30761, -96.47007760304929 45.3267996493923, -96.482556 45.346273, -96.52178699999999 45.375645, -96.562142 45.386089999999996, -96.61772599999999 45.408091999999996, -96.67544699999999 45.410216, -96.710786 45.43693, -96.742509 45.478722999999995, -96.781036 45.535972, -96.8354191619781 45.5861286928808))",MN,1.47264,3.0
47,27127,Redwood,"POLYGON ((-95.59481699999999 44.542305, -95.3604 44.541762, -95.360177 44.69854, -95.24421799999999 44.66706, -95.132652 44.596443, -94.880335 44.516794, -94.86582399999999 44.498218, -94.866259 44.282371999999995, -95.10748 44.281768, -95.10877699999999 44.195043999999996, -95.121234 44.195301, -95.462547 44.195941999999995, -95.59357 44.19553, -95.59481699999999 44.542305))",MN,1.44242,5.0
48,27041,Douglas,"POLYGON ((-95.76975 46.10745, -95.14587999999999 46.106761, -95.139731 45.773416, -95.13967 45.758891, -95.75850799999999 45.759932, -95.76975 46.10745))",MN,1.16849,9.0
49,27061,Itasca,"POLYGON ((-94.418543 47.845816, -93.776173 47.846404, -93.77577199999999 47.89895, -93.081158 47.89187, -93.061253 47.720186999999996, -93.0695 47.393915, -93.055943 47.026415, -93.775257 47.030418, -93.77393 47.211335, -93.80882 47.232622, -93.77400999999999 47.30506, -93.888213 47.318856, -93.91150499999999 47.297868, -94.042287 47.373112, -94.027858 47.408632999999995, -94.09511499999999 47.477972, -94.327531 47.415844, -94.41627899999999 47.444828, -94.418543 47.845816))",MN,0.515124,11.0
50,27015,Brown,"POLYGON ((-95.10748 44.281768, -94.866259 44.282371999999995, -94.86582399999999 44.498218, -94.81488 44.484449999999995, -94.78063 44.456649999999996, -94.666062 44.394048, -94.491333 44.359676, -94.371731 44.264447999999994, -94.36885 44.108698, -94.859803 44.108016, -95.10022099999999 44.108033999999996, -95.100892 44.180296, -95.10877699999999 44.195043999999996, -95.10748 44.281768))",MN,1.31993,4.0
51,27081,Lincoln,"POLYGON ((-96.4538066996671 44.631335831948, -96.09295 44.630486, -96.08041 44.54313, -96.07858 44.196619999999996, -96.4524358245955 44.196801586665, -96.452213 44.360149, -96.4532913135987 44.543636801818, -96.4538066996671 44.631335831948))",MN,1.56034,4.0
52,27157,Wabasha,"POLYGON ((-92.550733 44.368521, -92.430629 44.368291, -92.43027699999999 44.455321, -92.2453646490054 44.4542511243518, -92.232472 44.445434, -92.111085 44.413948, -92.08452858049279 44.404614314801, -91.9636 44.362111999999996, -91.916191 44.318093999999995, -91.892698 44.231105, -91.85449997529768 44.1972265195522, -92.079397 44.192721999999996, -92.07949099999999 44.106988, -92.31897099999999 44.107734, -92.318986 44.194057, -92.550871 44.194916, -92.550733 44.368521))",MN,1.16193,7.0
53,27089,Marshall,"POLYGON ((-97.14810346613359 48.540744046186695, -97.1477235683009 48.54389168365059, -96.387835 48.544308, -95.60231499999999 48.538886999999995, -95.59378799999999 48.172916, -96.50084299999999 48.174108, -97.1458449594749 48.1732234829905, -97.1419103871983 48.1936276188744, -97.129533 48.257815, -97.13790399999999 48.344584999999995, -97.139173 48.430527999999995, -97.14912199999999 48.532305, -97.14810346613359 48.540744046186695))",MN,1.01386,9.0
54,27125,Red Lake,"POLYGON ((-96.48254999999999 47.963595, -95.70984 47.96433, -95.70961899999999 47.935804999999995, -95.709148 47.848594, -95.836827 47.848219, -95.837177 47.760894, -96.351727 47.7603, -96.35270799999999 47.847328, -96.482092 47.847428, -96.48254999999999 47.963595))",MN,1.03105,0.0
55,27129,Renville,"POLYGON ((-95.482889 44.890712, -95.24852 44.89131, -94.758189 44.892097, -94.50239499999999 44.892295, -94.49802799999999 44.872516, -94.498074 44.717171, -94.62948899999999 44.716663, -94.6242 44.45603, -94.78063 44.456649999999996, -94.81488 44.484449999999995, -94.86582399999999 44.498218, -94.880335 44.516794, -95.132652 44.596443, -95.24421799999999 44.66706, -95.360177 44.69854, -95.415854 44.734505, -95.482843 44.752505, -95.482889 44.890712))",MN,1.46313,3.0
56,27031,Cook,"POLYGON ((-91.0325394612651 48.1905788218987, -90.906829 48.237339, -90.84362399999999 48.243576, -90.80420699999999 48.177833, -90.77596199999999 48.122229, -90.70370199999999 48.096008999999995, -90.566113 48.12262, -90.471019 48.106075999999995, -90.31723 48.103792999999996, -90.136191 48.112136, -90.029626 48.087588, -89.973433 48.02035, -89.86815299999999 47.989898, -89.749314 48.023325, -89.625087 48.011517, -89.489226 48.014528, -89.555015 47.974849, -89.66061599999999 47.951215999999995, -89.737539 47.918183, -89.793539 47.891358, -89.923649 47.862061999999995, -89.974296 47.830514, -90.072025 47.811105, -90.187636 47.77813, -90.32344599999999 47.753771, -90.42139 47.73515, -90.537105 47.703055, -90.647837 47.656175999999995, -90.73592699999999 47.624342999999996, -90.86827 47.5569, -91.023124 47.464963999999995, -91.020737 47.887995, -91.0325394612651 48.1905788218987))",MN,0.603508,2.0
57,27145,Stearns,"POLYGON ((-95.139731 45.773416, -94.64399 45.77395, -94.5133 45.77438, -94.271776 45.775208, -94.18265099999999 45.67958, -94.203666 45.619555999999996, -94.149467 45.559066, -94.141989 45.493243, -94.047327 45.422861, -94.09272 45.342467, -94.26082099999999 45.283941, -94.383449 45.282796999999995, -94.383744 45.326727, -94.640096 45.325601, -94.76308 45.326100000000004, -94.762934 45.412861, -95.13172999999999 45.412402, -95.13967 45.758891, -95.139731 45.773416))",MN,1.12344,25.0
58,27121,Pope,"POLYGON ((-95.75850799999999 45.759932, -95.13967 45.758891, -95.13172999999999 45.412402, -95.255206 45.412524999999995, -95.747402 45.412313, -95.75850799999999 45.759932))",MN,1.32465,2.0
59,27079,Le Sueur,"POLYGON ((-94.025162 44.256519, -93.93268499999999 44.344885, -93.92954999999999 44.456716, -93.885373 44.518209, -93.910405 44.543163, -93.524327 44.543617999999995, -93.52523099999999 44.196134, -93.767971 44.195836, -93.768031 44.239384, -94.01186799999999 44.23952, -94.025162 44.256519))",MN,1.21464,5.0
60,27139,Scott,"POLYGON ((-93.902479 44.587647, -93.768039 44.640302999999996, -93.618141 44.707096, -93.594234 44.776215, -93.57866299999999 44.794373, -93.520431 44.804263, -93.43808899999999 44.813007, -93.32961499999999 44.791086, -93.318157 44.717535999999996, -93.318731 44.630578, -93.27816899999999 44.630751, -93.281521 44.543957, -93.357704 44.544005999999996, -93.524327 44.543617999999995, -93.910405 44.543163, -93.902479 44.587647))",MN,1.06515,13.0
61,27099,Mower,"POLYGON ((-93.04952399999999 43.848442999999996, -93.04596599999999 43.848467, -92.689391 43.848569999999995, -92.67884 43.833695999999996, -92.448965 43.834105, -92.44894795143779 43.500414988562696, -92.5531280905188 43.5003000363123, -92.553161 43.5003, -92.870277 43.499548, -93.0243479005419 43.499556163630004, -93.04919200781649 43.4995574800246, -93.04952399999999 43.848442999999996))",MN,1.29814,13.0
62,27093,Meeker,"POLYGON ((-94.76308 45.326100000000004, -94.640096 45.325601, -94.383744 45.326727, -94.383449 45.282796999999995, -94.26082099999999 45.283941, -94.256681 45.239272, -94.256074 44.979465, -94.501885 44.979695, -94.50239499999999 44.892295, -94.758189 44.892097, -94.76308 45.326100000000004))",MN,1.02424,5.0
63,27037,Dakota,"POLYGON ((-93.32961499999999 44.791086, -93.25187299999999 44.811476, -93.19794 44.862, -93.178539 44.888338, -93.096041 44.923286999999995, -93.020044 44.89075, -93.010032 44.845988999999996, -93.01596099999999 44.775563999999996, -92.7923607996705 44.7589838136971, -92.7316238513032 44.7149227852596, -92.73204299999999 44.629493, -92.79258399999999 44.629722, -92.79260000000001 44.542971, -93.039344 44.51535, -93.039485 44.471871, -93.281686 44.471998, -93.281521 44.543957, -93.27816899999999 44.630751, -93.318731 44.630578, -93.318157 44.717535999999996, -93.32961499999999 44.791086))",MN,0.976144,63.0
64,27069,Kittson,"POLYGON ((-97.229039 49.000687, -96.93096 48.999984, -96.405408 48.999984, -96.404924 48.71707, -96.387835 48.544308, -97.1477235683009 48.54389168365059, -97.142915 48.583732999999995, -97.100009 48.667925999999994, -97.121253 48.713592999999996, -97.152588 48.772602, -97.187362 48.867598, -97.227854 48.945864, -97.229039 49.000687))",MN,0.992227,3.0
65,27071,Koochiching,"POLYGON ((-94.4302012792341 48.698308785528496, -94.388848 48.711945, -94.281797 48.705255, -94.25116899999999 48.683513999999995, -94.250191 48.656323, -94.09124399999999 48.643668999999996, -93.927004 48.63122, -93.844008 48.629394999999995, -93.80527 48.570299, -93.81517799999999 48.526508, -93.674568 48.516296999999994, -93.562062 48.528897, -93.46750399999999 48.545663999999995, -93.464308 48.591792, -93.371156 48.605084999999995, -93.347528 48.626619999999996, -93.207398 48.642474, -93.14242 48.624924, -93.0884545352861 48.6268142184965, -93.096488 48.067826, -93.081158 47.89187, -93.77577199999999 47.89895, -93.776173 47.846404, -94.418543 47.845816, -94.41774699999999 47.93311, -94.428702 48.367332999999995, -94.4302012792341 48.698308785528496))",MN,0.414025,7.0
66,27001,Aitkin,"POLYGON ((-93.810407 46.250948, -93.77790499999999 46.589670999999996, -93.77602399999999 46.802890999999995, -93.775257 47.030418, -93.055943 47.026415, -93.061529 46.766549999999995, -93.054847 46.419269, -93.053871 46.15812, -93.284475 46.159442999999996, -93.431831 46.153991, -93.43064799999999 46.246412, -93.796281 46.243199, -93.810407 46.250948))",MN,0.502054,4.0
67,27055,Houston,"POLYGON ((-91.730424 43.846934999999995, -91.2876556273671 43.847065, -91.243955 43.773046, -91.25700015600569 43.725658737222396, -91.273252 43.666623, -91.252926 43.600363, -91.232812 43.564842, -91.21770599999999 43.50055, -91.491042 43.50069, -91.61083500055439 43.5006878467793, -91.7302169978377 43.5006857009461, -91.730424 43.846934999999995))",MN,1.65455,6.0
68,27077,Lake of the Woods,"POLYGON ((-95.34272999999999 48.713028, -95.089863 48.713062, -95.091464 48.920618, -95.23560599999999 48.88145, -95.30104 48.904216, -95.3198887834722 48.9987583440104, -95.153711 48.998903, -95.153309 49.18488, -95.15333 49.309287, -95.153314 49.384358, -95.058404 49.35317, -94.988908 49.368897, -94.952111 49.368679, -94.87845399999999 49.333192999999994, -94.816222 49.320986999999995, -94.79724399999999 49.214284, -94.774228 49.124994, -94.750221 49.099762999999996, -94.75021799999999 48.999992, -94.718932 48.999990999999994, -94.68306899999999 48.883928999999995, -94.685681 48.840118999999994, -94.694312 48.789352, -94.61900999999999 48.737373999999996, -94.508862 48.700362, -94.446604 48.6929, -94.4302012792341 48.698308785528496, -94.428702 48.367332999999995, -95.21095299999999 48.365970999999995, -95.21196599999999 48.539961, -95.34254 48.540211, -95.34272999999999 48.713028))",MN,0.505752,4.0
